iter,pi,tol
2,3.1172839506172840274,-1
3,3.1455761316872425937,-1
4,3.1408505617610553706,-1
5,3.141741197433688626,-1
6,3.1415615878775908776,-1
7,3.141599340966198195,-1
8,3.1415911843609061194,-1
9,3.1415929813345666588,-1
10,3.1415925796063506326,-1
11,3.141592670450685354,-1
12,3.1415926497167876441,-1
13,3.1415926544853478575,-1
14,3.1415926533815388133,-1
15,3.1415926536384572998,-1
16,3.1415926535783720297,-1
17,3.1415926535924825203,-1
18,3.1415926535891562921,-1
19,3.1415926535899432182,-1
20,3.1415926535897567007,-1
21,3.1415926535898011096,-1
22,3.1415926535897904515,-1
23,3.1415926535897926719,-1
24,3.1415926535897922278,-1
25,3.1415926535897922278,-1
26,3.1415926535897922278,-1
27,3.1415926535897922278,-1
28,3.1415926535897922278,-1
29,3.1415926535897922278,-1
30,3.1415926535897922278,-1
31,3.1415926535897922278,-1
32,3.1415926535897922278,-1
33,3.1415926535897922278,-1
34,3.1415926535897922278,-1
35,3.1415926535897922278,-1
36,3.1415926535897922278,-1
37,3.1415926535897922278,-1
38,3.1415926535897922278,-1
39,3.1415926535897922278,-1
40,3.1415926535897922278,-1
41,3.1415926535897922278,-1
42,3.1415926535897922278,-1
43,3.1415926535897922278,-1
44,3.1415926535897922278,-1
45,3.1415926535897922278,-1
46,3.1415926535897922278,-1
47,3.1415926535897922278,-1
48,3.1415926535897922278,-1
49,3.1415926535897922278,-1
